,date,open,high,low,close,volume
0,2019-05-06,49.94,51.05,49.75,50.96,1015609.0
1,2019-05-07,50.34,50.70,49.09,49.59,1210952.0
2,2019-05-08,49.37,50.19,49.32,49.60,797659.0
3,2019-05-09,49.01,49.30,48.07,49.07,1139552.0
4,2019-05-10,48.45,48.80,47.30,48.39,1260635.0
5,2019-05-13,46.06,46.50,44.87,45.58,1737413.0
6,2019-05-14,45.74,46.55,45.50,46.29,1089075.0
7,2019-05-15,45.72,47.06,45.65,46.85,821388.0
8,2019-05-16,46.60,47.23,46.34,46.65,979834.0
9,2019-05-17,45.90,46.85,45.83,46.38,961164.0
10,2019-05-20,45.06,45.24,44.24,44.93,1170507.0
11,2019-05-21,45.45,46.13,45.33,45.79,821920.0
12,2019-05-22,45.31,45.58,44.79,44.85,911336.0
13,2019-05-23,44.13,44.31,43.63,44.09,1096917.0
14,2019-05-24,44.24,44.69,43.83,43.92,754195.0
15,2019-05-28,43.40,43.81,43.16,43.24,797569.0
16,2019-05-29,42.81,43.51,42.70,43.03,916654.0
17,2019-05-30,43.18,43.48,42.86,43.26,668341.0
18,2019-05-31,42.74,43.18,42.46,42.47,787516.0
19,2019-06-03,42.60,43.17,41.31,42.04,1274841.0
20,2019-06-04,42.56,43.62,42.34,43.58,952267.0
21,2019-06-05,45.22,45.40,44.45,44.79,918440.0
22,2019-06-06,44.94,45.51,44.69,45.46,629668.0
23,2019-06-07,45.78,47.10,45.59,46.66,975371.0
24,2019-06-10,47.18,47.94,47.02,47.26,847312.0
25,2019-06-11,47.81,48.10,47.51,47.81,793375.0
26,2019-06-12,47.60,48.09,47.46,47.65,572321.0
27,2019-06-13,47.78,48.29,47.51,47.65,631151.0
28,2019-06-14,47.03,47.51,46.70,47.30,553323.0
29,2019-06-17,47.33,47.85,47.16,47.58,434639.0
30,2019-06-18,48.10,49.15,47.90,48.70,820999.0
31,2019-06-19,49.00,49.05,48.42,48.56,614258.0
32,2019-06-20,49.17,49.23,48.60,48.94,605061.0
33,2019-06-21,48.70,49.29,48.62,48.78,829148.0
34,2019-06-24,48.74,49.12,48.63,48.73,440093.0
35,2019-06-25,48.74,48.90,47.92,47.99,561744.0
36,2019-06-26,48.57,49.33,48.43,49.03,738453.0
37,2019-06-27,49.15,49.47,48.97,49.01,511424.0
38,2019-06-28,48.76,48.96,48.35,48.57,665116.0
39,2019-07-01,49.86,50.18,49.24,49.46,783564.0
40,2019-07-02,49.44,49.85,49.42,49.75,546162.0
41,2019-07-03,49.88,50.17,49.74,50.16,306436.0
42,2019-07-05,49.90,50.33,49.79,50.12,509900.0
43,2019-07-08,49.32,49.42,48.69,49.08,740978.0
44,2019-07-09,48.90,49.45,48.79,49.38,581152.0
45,2019-07-10,49.56,49.99,49.46,49.87,526428.0
46,2019-07-11,49.88,50.15,49.50,49.51,543369.0
47,2019-07-12,49.70,50.06,49.62,49.89,526320.0
48,2019-07-15,50.09,50.52,50.06,50.36,484818.0
49,2019-07-16,50.24,50.58,49.94,50.19,483851.0
50,2019-07-17,50.12,50.33,49.88,49.90,391684.0
